,manufacturer,price,number_of_reviews,number_of_answered_questions,average_review_rating,price_min,price_max,number_available_in_stock,collectible,new,refurbished,unavailable,used,condition
4936,Preiser,89.37,1,5.0,5.0,89.37,89.37,0,0,0,0,1,0,unavailable
4937,Corgi,29.99,7,5.0,4.6,29.99,29.99,7,0,1,0,0,0,new
4938,Eckon,5.00,1,5.0,5.0,5.0,5.0,0,0,0,0,1,0,unavailable
4939,Power Trains,21.95,2,1.0,5.0,21.95,21.95,0,0,0,0,1,0,unavailable
4940,BSD,30.90,1,1.0,5.0,30.9,30.9,0,0,0,0,1,0,unavailable
4941,Roco,109.95,1,1.0,5.0,109.95,109.95,2,0,1,0,0,0,new
4942,Bachmann,124.99,1,1.0,5.0,124.99,124.99,0,0,0,0,1,0,unavailable
4943,Bachmann,95.80,1,1.0,5.0,95.8,95.8,2,0,1,0,0,0,new
4944,Hornby,69.99,4,1.0,4.3,69.99,69.99,0,0,0,0,1,0,unavailable
4945,Corgi,20.73,9,1.0,5.0,20.73,20.73,6,0,1,0,0,0,new
4946,Eckon,13.00,1,1.0,4.0,13.0,13.0,0,0,0,0,1,0,unavailable
4947,Kato,59.99,1,1.0,5.0,59.99,59.99,11,0,1,0,0,0,new
4948,Berko,16.50,1,1.0,4.0,16.5,16.5,0,0,0,0,1,0,unavailable
4949,Revell,19.95,2,1.0,5.0,19.95,19.95,8,0,1,0,0,0,new
4950,Tomytec,11.44,2,1.0,5.0,11.44,11.44,28,0,1,0,0,0,new
4951,Tommy Tech,72.15,1,1.0,5.0,72.15,72.15,14,0,1,0,0,0,new
4952,SORA,65.90,1,1.0,5.0,65.9,65.9,0,0,0,0,1,0,unavailable
4953,Kato,32.81,2,1.0,5.0,32.81,32.81,10,0,1,0,0,0,new
4954,Takara Tomy,17.36,1,1.0,5.0,17.36,17.36,26,0,1,0,0,0,new
4955,Hornby,139.99,1,1.0,5.0,139.99,139.99,5,0,1,0,0,0,new
4956,Dapol,29.30,1,1.0,4.0,29.3,29.3,2,0,1,0,0,0,new
4957,Corgi,22.34,1,1.0,5.0,22.34,22.34,11,0,1,0,0,0,new
4958,MicroMiniatures,1.50,1,1.0,5.0,1.5,1.5,3,0,1,0,0,0,new
4959,Kato,49.49,1,1.0,5.0,49.49,49.49,22,0,1,0,0,0,new
4960,Micki Leksaker,23.45,1,1.0,5.0,23.45,23.45,6,0,1,0,0,0,new
4961,Dapol,10.99,4,1.0,4.5,10.99,10.99,5,0,1,0,0,0,new
4962,Lionel,171.07,11,5.0,4.3,171.07,171.07,5,0,1,0,0,0,new
4963,RAILWAY - BACHMANN,26.05,1,5.0,5.0,26.05,26.05,3,0,1,0,0,0,new
4964,Hornby,121.05,1,5.0,5.0,121.05,121.05,3,0,1,0,0,0,new
4965,Hornby,58.64,2,5.0,4.0,58.64,58.64,3,0,1,0,0,0,new
4966,Power Trains,20.61,5,5.0,4.4,20.61,20.61,8,0,1,0,0,0,new
4967,Bachmann,150.99,2,1.0,5.0,150.99,150.99,0,0,0,0,1,0,unavailable
4968,Branching Out,43.91,14,1.0,4.9,43.91,43.91,2,0,1,0,0,0,new
4969,Faller,140.00,1,1.0,5.0,140.0,140.0,6,0,1,0,0,0,new
4970,Hornby,19.95,1,1.0,5.0,19.95,19.95,3,0,1,0,0,0,new
4971,Bachmann,146.10,1,1.0,5.0,146.1,146.1,4,0,1,0,0,0,new
4972,Piko,7.25,2,1.0,5.0,7.25,7.25,3,0,1,0,0,0,new
4973,Peco,3.20,6,1.0,4.0,3.2,3.2,2,0,1,0,0,0,new
4974,Micki Leksaker,23.28,1,1.0,5.0,23.28,23.28,3,0,1,0,0,0,new
4975,Kato,56.60,1,1.0,5.0,56.6,56.6,24,0,1,0,0,0,new
4976,RAILWAY - BACHMANN,26.05,1,1.0,5.0,26.05,26.05,4,0,1,0,0,0,new
4977,Hornby,114.98,1,1.0,5.0,114.98,114.98,2,0,1,0,0,0,new
4978,Hornby,127.99,2,1.0,5.0,127.99,127.99,0,0,0,0,1,0,unavailable
4979,Hornby,94.46,7,2.0,4.4,94.46,94.46,2,0,1,0,0,0,new
4980,Ratio,11.00,1,2.0,5.0,11.0,11.0,0,0,0,0,1,0,unavailable
4981,Planes,35.98,2,2.0,4.5,35.98,35.98,0,0,0,0,1,0,unavailable
4982,Ratio,12.50,1,2.0,5.0,12.5,12.5,0,0,0,0,1,0,unavailable
4983,Generic,4.99,3,1.0,5.0,4.99,4.99,2,0,1,0,0,0,new
4984,Kato,48.30,1,1.0,5.0,48.3,48.3,23,0,1,0,0,0,new
4985,Kato,152.65,2,1.0,5.0,152.65,152.65,22,0,1,0,0,0,new
4986,Hornby,19.95,1,1.0,5.0,19.95,19.95,5,0,1,0,0,0,new
4987,Fisher-Price,23.00,9,1.0,4.7,23.0,23.0,0,0,0,0,1,0,unavailable
