,manufacturer,price,number_of_reviews,number_of_answered_questions,average_review_rating,price_min,price_max,number_available_in_stock,collectible,new,refurbished,unavailable,used,condition
1959,HPI,13.07,1,2.0,5.0,13.07,13.07,0,0,0,0,1,0,unavailable
1960,sunnytech®,53.41,22,2.0,4.8,53.41,53.41,0,0,0,0,1,0,unavailable
1961,Yacool ®,9.85,4,2.0,4.0,9.85,9.85,2,0,1,0,0,0,new
1962,BQLZR Hobbies,3.39,2,2.0,5.0,3.39,3.39,0,0,0,0,1,0,unavailable
1963,Tamiya,5.29,1,2.0,5.0,5.29,5.29,11,0,1,0,0,0,new
1964,Parrot,24.99,2,2.0,5.0,24.99,24.99,5,0,1,0,0,0,new
1965,HPI,184.99,2,1.0,5.0,184.99,184.99,5,0,1,0,0,0,new
1966,Syma,38.59,4,1.0,4.3,38.59,38.59,0,0,0,0,1,0,unavailable
1967,Mudder,5.99,2,1.0,5.0,5.99,5.99,0,0,0,0,1,0,unavailable
1968,HPI,24.04,1,1.0,5.0,24.04,24.04,0,0,0,0,1,0,unavailable
1969,RCECHO,27.00,1,1.0,5.0,27.0,27.0,0,0,0,0,1,0,unavailable
1970,BTG,15.99,2,1.0,4.0,15.99,15.99,0,0,0,0,1,0,unavailable
1971,FamilyMall,4.98,2,1.0,5.0,4.98,4.98,0,0,0,0,1,0,unavailable
1972,BQLZR Hobbies,4.99,1,1.0,5.0,4.99,4.99,0,0,0,0,1,0,unavailable
1973,BTG,12.85,1,1.0,5.0,12.85,12.85,0,0,0,0,1,0,unavailable
1974,RCECHO,7.00,1,1.0,5.0,7.0,7.0,0,0,0,0,1,0,unavailable
1975,Safari Drives,29.99,1,1.0,5.0,29.99,29.99,0,0,0,0,1,0,unavailable
1976,Tamiya,9.80,1,1.0,5.0,9.8,9.8,9,0,1,0,0,0,new
1977,Often,10.99,17,3.0,4.2,10.99,10.99,0,0,0,0,1,0,unavailable
1978,RCECHO,23.70,1,3.0,5.0,23.7,23.7,0,0,0,0,1,0,unavailable
1979,HOBBYTIGER,11.99,2,3.0,4.0,11.99,11.99,0,0,0,0,1,0,unavailable
1980,BQLZR Hobbies,4.39,1,3.0,5.0,4.39,4.39,0,0,0,0,1,0,unavailable
1981,Traxxas,4.10,2,3.0,5.0,4.1,4.1,2,0,1,0,0,0,new
1982,Syma,3.57,39,3.0,4.5,3.57,3.57,2,0,1,0,0,0,new
1983,BQLZR Hobbies,15.86,2,3.0,4.5,15.86,15.86,0,0,0,0,1,0,unavailable
1984,XT-XINTE,4.71,1,3.0,5.0,4.71,4.71,0,0,0,0,1,0,unavailable
1985,Electrovision,2.18,18,3.0,4.3,2.18,2.18,4,0,1,0,0,0,new
1986,Parrot,7.38,4,3.0,4.0,7.38,7.38,16,0,1,0,0,0,new
1987,Tamiya,11.27,16,2.0,4.8,11.27,11.27,19,0,1,0,0,0,new
1988,HOBBYTIGER,29.99,6,2.0,4.8,29.99,29.99,2,0,1,0,0,0,new
1989,RCECHO,5.90,1,2.0,5.0,5.9,5.9,0,0,0,0,1,0,unavailable
1990,GoolRC,10.80,2,2.0,5.0,10.8,10.8,2,0,1,0,0,0,new
1991,HPI Racing,5.67,1,2.0,5.0,5.67,5.67,4,0,1,0,0,0,new
1992,RCECHO,7.80,2,2.0,5.0,7.8,7.8,0,0,0,0,1,0,unavailable
1993,RCECHO,25.50,1,2.0,4.0,25.5,25.5,0,0,0,0,1,0,unavailable
1994,Venom,44.99,1,2.0,5.0,44.99,44.99,0,0,0,0,1,0,unavailable
1995,Tamiya,9.17,8,2.0,4.8,9.17,9.17,14,0,1,0,0,0,new
1996,HPI Racing,5.29,1,2.0,5.0,5.29,5.29,2,0,1,0,0,0,new
1997,RCECHO,4.70,1,2.0,5.0,4.7,4.7,0,0,0,0,1,0,unavailable
1998,Hubsan,0.89,79,2.0,4.3,0.89,0.89,9,0,1,0,0,0,new
1999,iColourful,22.98,1,1.0,5.0,22.98,22.98,0,0,0,0,1,0,unavailable
2000,RCECHO,6.80,1,1.0,4.0,6.8,6.8,0,0,0,0,1,0,unavailable
2001,Secraft,74.95,1,1.0,5.0,74.95,74.95,0,0,0,0,1,0,unavailable
2002,Spektrum,159.96,2,1.0,4.0,159.96,159.96,4,0,1,0,0,0,new
2003,Tamiya,6.98,1,1.0,5.0,6.98,6.98,10,0,1,0,0,0,new
2004,RCECHO,49.10,1,1.0,5.0,49.1,49.1,0,0,0,0,1,0,unavailable
2005,Syma,1.54,49,1.0,4.5,1.54,1.54,7,0,1,0,0,0,new
2006,Graupner,129.99,2,1.0,4.5,129.99,129.99,2,0,1,0,0,0,new
2007,CRW,10.48,4,1.0,5.0,10.48,10.48,0,0,0,0,1,0,unavailable
2008,Sas Protection,3.49,5,1.0,4.4,3.49,3.49,0,0,0,0,1,0,unavailable
2009,Venom,78.99,1,1.0,4.0,78.99,78.99,0,0,0,0,1,0,unavailable
2010,ImmersionRC / Fatshark,35.80,2,1.0,5.0,35.8,35.8,3,0,1,0,0,0,new
2011,Fayee,10.30,1,1.0,5.0,10.3,10.3,0,0,0,0,1,0,unavailable
2012,ketpriz,69.99,1,1.0,4.0,69.99,69.99,4,0,1,0,0,0,new
2013,SJ R/C,6.99,1,1.0,5.0,6.99,6.99,0,0,0,0,1,0,unavailable
2014,Graupner,84.99,1,1.0,5.0,84.99,84.99,4,0,1,0,0,0,new
2015,Chinatera,2.99,1,1.0,5.0,2.99,2.99,0,0,0,0,1,0,unavailable
2016,RCECHO,3.80,1,1.0,5.0,3.8,3.8,0,0,0,0,1,0,unavailable
2017,TEAMLOSI,17.99,1,1.0,5.0,17.99,17.99,2,0,1,0,0,0,new
2018,Hubsan,13.91,1,1.0,5.0,13.91,13.91,5,0,1,0,0,0,new
2019,BTG,15.99,5,1.0,4.6,15.99,15.99,0,0,0,0,1,0,unavailable
2020,GoolRC,24.00,1,1.0,5.0,24.0,24.0,0,0,0,0,1,0,unavailable
2021,DJI,28.50,5,1.0,4.6,28.5,28.5,0,0,0,0,1,0,unavailable
2022,Parrot,16.10,1,1.0,5.0,16.1,16.1,2,0,1,0,0,0,new
2023,RCECHO,36.10,1,1.0,5.0,36.1,36.1,0,0,0,0,1,0,unavailable
2024,Thunder Tiger,4.09,1,1.0,5.0,4.09,4.09,0,0,0,0,1,0,unavailable
2025,Tonsee®,1.28,1,1.0,5.0,1.28,1.28,0,0,0,0,1,0,unavailable
2026,OEM,9.39,2,1.0,5.0,9.39,9.39,2,0,1,0,0,0,new
2027,RCECHO,17.10,1,1.0,5.0,17.1,17.1,0,0,0,0,1,0,unavailable
2028,Thunder Tiger,2.99,1,1.0,4.0,2.99,2.99,0,0,0,0,1,0,unavailable
2029,Parrot,34.98,1,1.0,5.0,34.98,34.98,18,0,1,0,0,0,new
2030,RCECHO,8.50,1,1.0,5.0,8.5,8.5,0,0,0,0,1,0,unavailable
2031,HB HomeBoat®,12.37,3,1.0,5.0,12.37,12.37,0,0,0,0,1,0,unavailable
2032,BTG,5.99,1,1.0,5.0,5.99,5.99,0,0,0,0,1,0,unavailable
2033,HomeTalks,3.00,5,1.0,4.8,3.0,3.0,3,0,1,0,0,0,new
2034,Syma,2.03,4,1.0,4.5,2.03,2.03,2,0,1,0,0,0,new
2035,BlueBeach,4.99,1,1.0,5.0,4.99,4.99,0,0,0,0,1,0,unavailable
2036,Tamiya,9.02,1,1.0,5.0,9.02,9.02,11,0,1,0,0,0,new
2037,"Team Losi, Inc.",7.64,1,1.0,5.0,7.64,7.64,2,0,1,0,0,0,new
2038,Dynamite,33.30,1,1.0,4.0,33.3,33.3,0,0,0,0,1,0,unavailable
2039,atdoshop,1.87,2,1.0,5.0,1.87,1.87,0,0,0,0,1,0,unavailable
2040,GoolRC,10.38,4,1.0,4.3,10.38,10.38,2,0,1,0,0,0,new
2041,Hot Bodies,14.13,1,1.0,5.0,14.13,14.13,2,0,1,0,0,0,new
2042,LEGO,156.95,40,,4.7,156.95,156.95,26,0,1,0,0,0,new
2043,Inspiration Bricks Toys,5.95,1,,4.0,5.95,5.95,0,0,0,0,1,0,unavailable
2044,LEGO,46.80,1,,5.0,46.8,46.8,4,0,1,0,0,0,new
2045,Takara Tomy,6.39,2,,5.0,6.39,6.39,30,0,1,0,0,0,new
2046,LEGO,46.99,15,,4.9,46.99,46.99,24,0,1,0,0,0,new
2047,Creator,9.99,6,,4.7,9.99,9.99,5,0,1,0,0,0,new
2048,Playmobil,29.01,4,,5.0,29.01,29.01,19,0,1,0,0,0,new
2049,Transformers,3.99,1,,4.0,3.99,3.99,0,0,0,0,1,0,unavailable
2050,Mega Bloks,14.99,1,,5.0,14.99,14.99,0,0,0,0,1,0,unavailable
2051,LEGO,41.95,14,,4.9,41.95,41.95,69,0,1,0,0,0,new
2052,Bandai,23.71,1,,5.0,23.71,23.71,12,0,1,0,0,0,new
2053,LEGO,6.99,1,,5.0,6.99,6.99,3,0,1,0,0,0,new
2054,LEGO,12.99,3,,4.3,12.99,12.99,49,0,1,0,0,0,new
2055,Revell,55.21,12,,5.0,55.21,55.21,13,0,1,0,0,0,new
2056,Transformers,9.99,3,,4.0,9.99,9.99,2,0,1,0,0,0,new
2057,LEGO,45.98,33,,4.7,45.98,45.98,44,0,1,0,0,0,new
2058,Insect Lore,6.32,8,,4.8,6.32,6.32,10,0,1,0,0,0,new
2059,Star Wars,14.95,1,,5.0,14.95,14.95,0,0,0,0,1,0,unavailable
2060,Playmobil,15.89,6,,4.8,15.89,15.89,11,0,1,0,0,0,new
2061,MASSEY FERGUSON Tronico,25.95,1,,5.0,25.95,25.95,2,0,1,0,0,0,new
2062,LEGO,10.99,16,,4.6,10.99,10.99,55,0,1,0,0,0,new
2063,LEGO,121.06,1,,5.0,121.06,121.06,7,0,1,0,0,0,new
2064,LEGO,15.95,10,,5.0,15.95,15.95,15,0,1,0,0,0,new
2065,LEGO,5.85,8,,4.8,5.85,5.85,13,0,1,0,0,0,new
2066,Playmobil,113.23,40,3.0,4.6,113.23,113.23,23,0,1,0,0,0,new
2067,Disney,30.83,10,3.0,4.4,30.83,30.83,18,0,1,0,0,0,new
2068,LEGO,9.92,2,3.0,4.5,9.92,9.92,8,0,1,0,0,0,new
2069,LEGO,9.99,1,3.0,5.0,9.99,9.99,4,0,1,0,0,0,new
2070,mic-o-mic,30.99,2,3.0,4.5,30.99,30.99,5,0,1,0,0,0,new
2071,LEGO,24.98,7,1.0,4.3,24.98,24.98,2,0,1,0,0,0,new
2072,Playmobil,38.20,54,3.0,4.4,38.2,38.2,47,0,1,0,0,0,new
2073,Meccano,23.99,15,1.0,4.7,23.99,23.99,13,0,1,0,0,0,new
2074,LEGO,14.96,4,1.0,5.0,14.96,14.96,4,0,1,0,0,0,new
2075,Melissa & Doug,9.99,6,1.0,4.7,9.99,9.99,6,0,1,0,0,0,new
2076,Playmobil,18.45,4,1.0,4.5,18.45,18.45,3,0,1,0,0,0,new
2077,Playmobil,8.99,1,1.0,5.0,8.99,8.99,40,0,1,0,0,0,new
2078,Character Options,13.60,8,1.0,4.9,13.6,13.6,3,0,1,0,0,0,new
2079,Bruder,12.99,48,1.0,4.8,12.99,12.99,56,0,1,0,0,0,new
2080,4M,3.99,13,1.0,4.3,3.99,3.99,7,0,1,0,0,0,new
2081,Playmobil,43.10,24,1.0,4.8,43.1,43.1,52,0,1,0,0,0,new
2082,LEGO,6.09,1,1.0,5.0,6.09,6.09,3,0,1,0,0,0,new
2083,Playmobil,50.23,1,1.0,5.0,50.23,50.23,2,0,1,0,0,0,new
2084,Zoob,69.15,8,1.0,4.8,69.15,69.15,5,0,1,0,0,0,new
2085,LEGO,17.20,2,1.0,4.5,17.2,17.2,35,0,1,0,0,0,new
2086,Sluban,21.99,1,1.0,5.0,21.99,21.99,2,0,1,0,0,0,new
2087,LEGO,89.73,3,1.0,5.0,89.73,89.73,71,0,1,0,0,0,new
2088,Kidoloop,20.15,1,1.0,5.0,20.15,20.15,0,0,0,0,1,0,unavailable
2089,LEGO,18.75,1,1.0,5.0,18.75,18.75,2,0,1,0,0,0,new
2090,Commotion Group,33.46,2,1.0,4.5,33.46,33.46,2,0,1,0,0,0,new
2091,Star Wars,11.95,1,1.0,4.0,11.95,11.95,0,0,0,0,1,0,unavailable
2092,LEGO,24.35,1,1.0,5.0,24.35,24.35,11,0,1,0,0,0,new
2093,P&D,8.99,16,2.0,4.0,8.99,8.99,3,0,1,0,0,0,new
2094,Mega Bloks,2.69,1,2.0,4.0,2.69,2.69,12,0,1,0,0,0,new
2095,LEGO,10.99,3,2.0,5.0,10.99,10.99,2,0,1,0,0,0,new
2096,LEGO,51.12,66,1.0,4.7,51.12,51.12,6,0,1,0,0,0,new
2097,LEGO,27.00,28,1.0,4.6,27.0,27.0,56,0,1,0,0,0,new
2098,LEGO,29.84,1,1.0,5.0,29.84,29.84,2,0,1,0,0,0,new
2099,Tegu,75.00,1,1.0,5.0,75.0,75.0,0,0,0,0,1,0,unavailable
2100,LEGO,5.79,24,1.0,4.9,5.79,5.79,6,0,1,0,0,0,new
2101,LEGO,46.97,1,1.0,5.0,46.97,46.97,3,0,1,0,0,0,new
2102,LEGO,33.59,3,1.0,4.7,33.59,33.59,16,0,1,0,0,0,new
2103,Plasticant Mobilo,30.39,6,1.0,4.8,30.39,30.39,5,0,1,0,0,0,new
2104,Creative Toys,9.99,6,1.0,4.3,9.99,9.99,3,0,1,0,0,0,new
2105,Metal Earth,10.00,3,2.0,5.0,10.0,10.0,6,0,1,0,0,0,new
2106,Mega Bloks,12.62,7,2.0,4.9,12.62,12.62,0,0,0,0,1,0,unavailable
2107,nanoblock,8.96,1,1.0,5.0,8.96,8.96,32,0,1,0,0,0,new
2108,LEGO,41.90,60,5.0,4.9,41.9,41.9,37,0,1,0,0,0,new
2109,LEGO,13.99,2,1.0,5.0,13.99,13.99,86,0,1,0,0,0,new
2110,Mega Bloks,19.99,1,1.0,5.0,19.99,19.99,7,0,1,0,0,0,new
2111,Laser,24.99,27,1.0,4.3,24.99,24.99,7,0,1,0,0,0,new
2112,LEGO,32.68,2,1.0,5.0,32.68,32.68,19,0,1,0,0,0,new
2113,LEGO,10.99,6,1.0,4.7,10.99,10.99,9,0,1,0,0,0,new
2114,Learning Resources,42.99,1,1.0,4.0,42.99,42.99,0,0,0,0,1,0,unavailable
2115,Matchmaker,14.03,5,1.0,5.0,14.03,14.03,3,0,1,0,0,0,new
2116,LEGO,11.99,10,1.0,4.3,11.99,11.99,60,0,1,0,0,0,new
2117,Copag,71.08,8,1.0,5.0,71.08,71.08,9,0,1,0,0,0,new
2118,LEGO,51.15,2,1.0,5.0,51.15,51.15,3,0,0,0,0,1,used
2119,Transformers,19.99,3,1.0,5.0,19.99,19.99,0,0,0,0,1,0,unavailable
2120,Professor Puzzle,6.99,3,1.0,5.0,6.99,6.99,8,0,1,0,0,0,new
2121,Playmobil,10.68,4,1.0,4.3,10.68,10.68,6,0,1,0,0,0,new
2122,LEGO,62.50,2,1.0,5.0,62.5,62.5,3,0,1,0,0,0,new
2123,Star Wars,59.99,30,1.0,4.7,59.99,59.99,92,0,1,0,0,0,new
2124,Aedes,42.00,1,1.0,5.0,42.0,42.0,5,0,1,0,0,0,new
2125,super9shop,2.05,238,9.0,4.4,2.05,2.05,23,0,1,0,0,0,new
2126,MAPS Toys,5.99,3,1.0,4.7,5.99,5.99,0,0,0,0,1,0,unavailable
2127,LEGO,7.48,1,1.0,5.0,7.48,7.48,0,0,0,0,1,0,unavailable
2128,Gundam,48.08,1,1.0,5.0,48.08,48.08,21,0,1,0,0,0,new
2129,Sluban,9.99,1,1.0,4.0,9.99,9.99,14,0,1,0,0,0,new
2130,Brio,11.99,1,1.0,5.0,11.99,11.99,0,0,0,0,1,0,unavailable
2131,Base Ace,39.95,1,1.0,4.0,39.95,39.95,0,0,0,0,1,0,unavailable
2132,LEGO,11.99,2,1.0,4.5,11.99,11.99,25,0,1,0,0,0,new
2133,TAGAMOTO ENFORCER SET,19.39,9,1.0,4.4,19.39,19.39,7,0,1,0,0,0,new
2134,LEGO,18.71,3,1.0,4.7,18.71,18.71,29,0,1,0,0,0,new
2135,LEGO,68.06,4,1.0,5.0,68.06,68.06,65,0,1,0,0,0,new
2136,A Plus,21.51,1,1.0,5.0,21.51,21.51,9,0,1,0,0,0,new
2137,Playmobil,10.91,10,1.0,4.6,10.91,10.91,7,0,1,0,0,0,new
2138,LEGO,8.95,1,1.0,5.0,8.95,8.95,2,0,1,0,0,0,new
2139,Lite Brix,25.97,1,1.0,5.0,25.97,25.97,6,0,1,0,0,0,new
2140,LEGO,34.56,41,1.0,4.5,34.56,34.56,25,0,1,0,0,0,new
2141,WARRIOR SINGLE PK AST,8.64,7,1.0,4.9,8.64,8.64,7,0,1,0,0,0,new
2142,LEGO,5.59,1,1.0,5.0,5.59,5.59,74,0,1,0,0,0,new
2143,Metcalfe,10.71,10,1.0,4.6,10.71,10.71,7,0,1,0,0,0,new
2144,LEGO,13.95,4,1.0,4.0,13.95,13.95,8,0,1,0,0,0,new
2145,nanoblock,7.11,33,1.0,4.8,7.11,7.11,50,0,1,0,0,0,new
2146,LEGO,29.39,1,1.0,5.0,29.39,29.39,15,0,1,0,0,0,new
2147,LEGO,17.99,2,1.0,4.5,17.99,17.99,63,0,1,0,0,0,new
2148,COBI,14.50,1,1.0,4.0,14.5,14.5,3,0,1,0,0,0,new
2149,Revell,79.98,3,4.0,4.3,79.98,79.98,0,0,0,0,1,0,unavailable
2150,LEGO,30.73,1,4.0,5.0,30.73,30.73,3,0,1,0,0,0,new
2151,LEGO,49.90,133,4.0,4.7,49.9,49.9,35,0,1,0,0,0,new
2152,Hape International,34.99,1,4.0,5.0,34.99,34.99,7,0,1,0,0,0,new
2153,LEGO,13.95,1,4.0,5.0,13.95,13.95,10,0,1,0,0,0,new
2154,LEGO,63.21,27,4.0,4.6,63.21,63.21,7,0,1,0,0,0,new
2155,LEGO,15.96,27,2.0,4.9,15.96,15.96,78,0,1,0,0,0,new
2156,LEGO,34.84,88,2.0,4.9,34.84,34.84,38,0,1,0,0,0,new
2157,LEGO,6.60,10,2.0,5.0,6.6,6.6,33,0,1,0,0,0,new
2158,Character Building,13.99,44,2.0,4.2,13.99,13.99,2,0,1,0,0,0,new
2159,Kawada,5.20,11,1.0,4.4,5.2,5.2,36,0,1,0,0,0,new
2160,LEGO,41.99,11,1.0,4.6,41.99,41.99,10,0,1,0,0,0,new
2161,LEGO,34.61,4,1.0,5.0,34.61,34.61,6,0,1,0,0,0,new
2162,Nicko,10.50,2,1.0,4.0,10.5,10.5,2,0,1,0,0,0,new
2163,BOYU,19.99,1,1.0,5.0,19.99,19.99,0,0,0,0,1,0,unavailable
2164,Mega Bloks,19.98,1,1.0,5.0,19.98,19.98,4,0,1,0,0,0,new
2165,Lite Brix Moonlight Monsters,7.45,6,1.0,4.7,7.45,7.45,16,0,1,0,0,0,new
2166,Mega Bloks,9.99,2,1.0,5.0,9.99,9.99,13,0,1,0,0,0,new
2167,LEGO,54.99,11,1.0,4.8,54.99,54.99,4,0,1,0,0,0,new
2168,Star Wars,11.96,36,1.0,4.7,11.96,11.96,60,0,1,0,0,0,new
2169,LEGO,169.99,1,1.0,5.0,169.99,169.99,13,0,1,0,0,0,new
2170,K'Nex,13.99,2,1.0,5.0,13.99,13.99,2,0,1,0,0,0,new
2171,Click-A-Brick,14.99,10,1.0,4.3,14.99,14.99,0,0,0,0,1,0,unavailable
2172,Ingenious Toys,7.95,2,1.0,4.0,7.95,7.95,2,0,1,0,0,0,new
2173,LEGO,46.40,20,1.0,4.9,46.4,46.4,73,0,1,0,0,0,new
2174,TINKERTOY,27.99,2,1.0,5.0,27.99,27.99,6,0,1,0,0,0,new
2175,LEGO,39.99,110,1.0,4.8,39.99,39.99,30,0,1,0,0,0,new
2176,Marvel,62.98,34,1.0,4.8,62.98,62.98,69,0,1,0,0,0,new
2177,LEGO,49.95,5,1.0,5.0,49.95,49.95,6,0,1,0,0,0,new
2178,LEGO,34.99,4,1.0,4.8,34.99,34.99,16,0,1,0,0,0,new
2179,Barbie,7.75,1,1.0,5.0,7.75,7.75,20,0,1,0,0,0,new
2180,LEGO,39.63,117,6.0,4.8,39.63,39.63,18,0,1,0,0,0,new
2181,LEGO,92.95,1,6.0,4.0,92.95,92.95,2,0,1,0,0,0,new
2182,LEGO,185.61,1,6.0,4.0,185.61,185.61,6,0,1,0,0,0,new
2183,Star Wars,22.42,24,1.0,4.7,22.42,22.42,56,0,1,0,0,0,new
2184,LEGO,67.98,1,1.0,5.0,67.98,67.98,9,0,1,0,0,0,new
2185,Playmobil,48.44,6,1.0,4.8,48.44,48.44,7,0,1,0,0,0,new
2186,KRE-O,9.99,1,1.0,5.0,9.99,9.99,3,0,1,0,0,0,new
2187,Learning Resources,38.00,5,1.0,4.8,38.0,38.0,3,0,1,0,0,0,new
2188,Built Up Toys,24.95,2,1.0,4.0,24.95,24.95,0,0,0,0,1,0,unavailable
2189,LEGO,89.45,39,7.0,4.9,89.45,89.45,26,0,1,0,0,0,new
2190,LEGO,28.95,109,7.0,4.9,28.95,28.95,51,0,1,0,0,0,new
2191,The Walking Dead,19.44,16,7.0,4.8,19.44,19.44,30,0,1,0,0,0,new
2192,Playmobil,2.99,1,7.0,5.0,2.99,2.99,5,0,1,0,0,0,new
2193,LEGO,374.96,8,7.0,4.9,374.96,374.96,8,0,1,0,0,0,new
2194,Mega Bloks,32.97,13,7.0,4.2,32.97,32.97,7,0,1,0,0,0,new
2195,LEGO,43.00,1,7.0,5.0,43.0,43.0,7,0,1,0,0,0,new
2196,Mega Bloks,34.99,1,7.0,4.0,34.99,34.99,2,0,1,0,0,0,new
2197,LEGO,6.99,2,7.0,4.5,6.99,6.99,5,0,1,0,0,0,new
2198,Meccano,34.99,82,2.0,4.5,34.99,34.99,6,0,1,0,0,0,new
2199,Playmobil,6.00,1,2.0,5.0,6.0,6.0,39,0,1,0,0,0,new
2200,Mega Bloks,19.99,3,2.0,5.0,19.99,19.99,10,0,1,0,0,0,new
2201,Disney,39.99,6,1.0,4.8,39.99,39.99,9,0,1,0,0,0,new
2202,Match Attax,3.44,1,,4.0,3.44,3.44,0,0,0,0,1,0,unavailable
2203,Future Card Buddyfight,14.99,1,,4.0,14.99,14.99,4,0,1,0,0,0,new
2204,Match Attax,18.99,1,,5.0,18.99,18.99,0,0,0,0,1,0,unavailable
2205,Pokémon,17.26,1,,5.0,17.26,17.26,4,0,1,0,0,0,new
2206,Cardfight,15.04,1,,4.0,15.04,15.04,3,0,1,0,0,0,new
2207,Inkworks,9.19,1,,5.0,9.19,9.19,2,0,1,0,0,0,new
2208,Top Trumps,5.06,1,,5.0,5.06,5.06,4,0,1,0,0,0,new
2209,Enter Play,1.99,1,,5.0,1.99,1.99,0,0,0,0,1,0,unavailable
2210,Konami,39.97,1,,5.0,39.97,39.97,0,0,0,0,1,0,unavailable
2211,KakapopoTCG Card Storage,49.50,1,1.0,5.0,49.5,49.5,0,0,0,0,1,0,unavailable
2212,Bin Weevils Trading Card Game,4.99,1,1.0,5.0,4.99,4.99,5,0,1,0,0,0,new
2213,Wizards of the Coast,139.99,2,1.0,4.0,139.99,139.99,9,0,1,0,0,0,new
2214,Topps,10.95,8,2.0,5.0,10.95,10.95,0,0,0,0,1,0,unavailable
2215,Crescent Cardboard Co,2.84,1,2.0,5.0,2.84,2.84,5,0,1,0,0,0,new
2216,Pokémon,7.50,1,2.0,5.0,7.5,7.5,0,0,0,0,1,0,unavailable
2217,Yu-Gi-Oh!,34.99,2,1.0,5.0,34.99,34.99,0,0,0,0,1,0,unavailable
2218,Magic Madhouse,3.85,1,1.0,5.0,3.85,3.85,5,0,1,0,0,0,new
2219,BCW,13.99,1,1.0,5.0,13.99,13.99,0,0,0,0,1,0,unavailable
2220,Pokémon,18.40,2,1.0,4.5,18.4,18.4,7,0,1,0,0,0,new
2221,Grossman,7.99,1,2.0,4.0,7.99,7.99,2,0,1,0,0,0,new
2222,Magic The Gathering,46.99,33,2.0,4.7,46.99,46.99,3,0,1,0,0,0,new
2223,TWILIGHT SAGA,5.90,1,2.0,5.0,5.9,5.9,9,0,1,0,0,0,new
2224,Upper Deck,29.95,8,2.0,4.3,29.95,29.95,3,0,1,0,0,0,new
2225,Magic The Gathering,38.95,3,2.0,5.0,38.95,38.95,5,0,1,0,0,0,new
2226,Magic Box Int.,4.62,1,2.0,4.0,4.62,4.62,0,0,0,0,1,0,unavailable
2227,Hawk Wargames,5.00,1,2.0,4.0,5.0,5.0,4,0,1,0,0,0,new
2228,Monster High,6.49,1,2.0,5.0,6.49,6.49,0,0,0,0,1,0,unavailable
2229,Pokémon,47.87,1,2.0,5.0,47.87,47.87,2,0,1,0,0,0,new
2230,Panini,12.97,1,2.0,4.0,12.97,12.97,0,0,0,0,1,0,unavailable
2231,Magic The Gathering,3.59,1,2.0,5.0,3.59,3.59,5,0,1,0,0,0,new
2232,Yu Gi Oh,3.96,1,2.0,4.0,3.96,3.96,2,0,1,0,0,0,new
2233,ClubKing Ltd,4.49,2,1.0,5.0,4.49,4.49,2,0,1,0,0,0,new
2234,Topps,2.24,1,1.0,5.0,2.24,2.24,4,0,1,0,0,0,new
2235,Yu-Gi-Oh 2013 Collectors Tin Wave 1,16.99,12,1.0,4.3,16.99,16.99,2,0,1,0,0,0,new
2236,Yu-Gi-Oh 2013 Zexal Collectors Tin,8.25,29,1.0,4.4,8.25,8.25,7,0,1,0,0,0,new
2237,Yu Gi Oh!,9.99,1,1.0,5.0,9.99,9.99,0,0,0,0,1,0,unavailable
2238,Topps,6.48,3,1.0,4.7,6.48,6.48,0,0,0,0,1,0,unavailable
2239,Magic The Gathering,3.41,3,1.0,4.0,3.41,3.41,7,0,1,0,0,0,new
2240,Pokémon,9.98,2,1.0,5.0,9.98,9.98,7,0,1,0,0,0,new
2241,Ultra Pro,3.49,1,1.0,5.0,3.49,3.49,17,0,1,0,0,0,new
2242,Castle MacLellan,5.95,1,1.0,4.0,5.95,5.95,0,0,0,0,1,0,unavailable
2243,Magic The Gathering,27.99,3,1.0,4.7,27.99,27.99,14,0,1,0,0,0,new
2244,Ultra Pro,4.50,1,2.0,5.0,4.5,4.5,4,0,1,0,0,0,new
2245,Magic The Gathering,20.57,2,2.0,4.0,20.57,20.57,2,0,1,0,0,0,new
2246,Magic The Gathering,90.99,1,2.0,5.0,90.99,90.99,2,0,1,0,0,0,new
2247,Match Attax 15/16,1.89,2,2.0,5.0,1.89,1.89,4,0,1,0,0,0,new
2248,Topps,14.97,4,2.0,4.5,14.97,14.97,0,0,0,0,1,0,unavailable
2249,Pokémon,26.99,1,2.0,5.0,26.99,26.99,0,0,0,0,1,0,unavailable
2250,Magic The Gathering,90.30,1,2.0,5.0,90.3,90.3,17,0,1,0,0,0,new
2251,Match Attax,6.57,2,2.0,5.0,6.57,6.57,6,0,1,0,0,0,new
2252,Magic The Gathering,19.70,5,1.0,4.2,19.7,19.7,11,0,1,0,0,0,new
2253,Pokémon,17.95,5,1.0,4.4,17.95,17.95,3,0,1,0,0,0,new
2254,Yu-Gi-Oh!,6.38,29,1.0,4.3,6.38,6.38,12,0,1,0,0,0,new
2255,Slam Attax,10.81,1,3.0,5.0,10.81,10.81,4,0,1,0,0,0,new
2256,Yu-Gi-Oh!,54.99,2,,4.5,54.99,54.99,2,0,1,0,0,0,new
2257,Magic The Gathering,83.88,1,2.0,5.0,83.88,83.88,17,0,1,0,0,0,new
2258,Pokémon,14.50,7,1.0,4.9,14.5,14.5,7,0,1,0,0,0,new
2259,Kotobukiya,40.68,1,1.0,5.0,40.68,40.68,32,0,1,0,0,0,new
2260,Match Attax 15/16,1.70,1,1.0,5.0,1.7,1.7,4,0,1,0,0,0,new
